Country Name,Country Code,Series,Series Code,1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Sub-Saharan Africa,SSF,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,61.06814,61.43799,61.9974,62.51631,62.58259,63.23536,63.71895,64.33604,64.39783,64.86887,65.47974,66.08567,66.78545,65.69776,66.46017,67.4921,67.60408,69.46058,68.16694,68.26552,66.4372,66.26522,67.13845,67.52557,68.72298,69.71562,70.37381,70.88635,71.21493,71.63605
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,39.2886,39.98425,40.54476,41.34955,42.13245,42.38386,43.10188,44.01566,44.53912,45.43069,46.52735,47.23443,48.1425,46.72939,47.75792,47.79965,48.55882,49.86007,49.11482,51.50065,48.39961,48.7554,49.43408,50.18258,52.11118,53.41955,54.39984,55.23515,56.08628,57.07067
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,60.99769,61.36848,61.92952,62.45083,62.51621,63.17081,63.65581,64.27481,64.33681,64.80945,65.42103,66.0286,66.73032,65.64014,66.40446,67.43928,67.55187,69.41314,68.11668,68.21579,66.38355,66.2092,67.08471,67.47321,68.67367,69.66415,70.32596,70.83925,71.16935,71.59126
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,39.39103,40.08519,40.64448,41.44646,42.22897,42.48038,43.197,44.1087,44.63128,45.52098,46.61387,47.31984,48.22608,46.81654,47.84305,47.88446,48.64146,49.93926,49.19551,51.57552,48.48125,48.83785,49.51455,50.26077,52.18459,53.49329,54.47018,55.30461,56.1533,57.13506
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,61.06814,61.43799,61.9974,62.51631,62.58259,63.23536,63.71895,64.33604,64.39783,64.86887,65.47974,66.08567,66.78545,65.69776,66.46017,67.4921,67.60408,69.46058,68.16694,68.26552,66.4372,66.26522,67.13845,67.52557,68.72298,69.71562,70.37381,70.88635,71.21493,71.63605
Sudan,SDN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,52.1464,..,..,..,..,..,..,..,46.69963,..,..,..,..,..,..,..,..
Sudan,SDN,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,71.58102,..,..,..,..,..,..,..,59.79825,..,..,..,..,..,..,..,..
Suriname,SUR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.19744,..,..,..,93.76537,..,94.00354,..,90.99791,..,..,..,..
Suriname,SUR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.01633,..,..,..,95.49294,..,95.36479,..,94.86987,..,..,..,..
Sweden,SWE,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
